CpG	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
6005486021_R06C01	0.0	2.6919746	1.8345499	3.6212296	2.3152616	0.0	0.0	2.2817874	1.2088714	1.2787912	0.0	0.0	0.0	0.6332989	1.7269986	4.8852005	1.8122222	1.7643526	1.3783948	0.35313606	0.0	3.1258068	2.117486	0.0	0.0	3.927854	0.0	0.0	0.0	0.0	0.0	0.0	0.07869434	2.6365457	0.0	2.0476165	0.0	0.0	2.4557276	0.0	0.0	0.0	1.8608356	1.5298768	1.8086567	0.0	0.0	0.0	1.6244128	0.0	0.0	0.0	0.0	4.339764	2.0188284	0.0	0.0	0.0	2.7046413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5720059	0.0	3.2194185	0.90807056	0.30889034	0.8717555	0.07749796	0.0	3.0558422	0.0	0.0	0.13417852	0.0	0.0	0.0	2.1171722	0.0	1.8088337	1.3292766	1.8442149	0.36141944	0.0	0.3794651	2.529469	2.2494469	0.0	0.0	0.0	0.0	1.4378421	2.8272119	0.0	0.98477507	0.49340296
9422491072_R06C01	0.0	1.877958	0.20862746	3.4223194	0.0	0.7316055	1.417933	0.0	0.8437505	0.0	1.5398245	0.0	2.2466135	1.0256166	0.46826732	0.3422637	0.69648075	0.0	1.4280412	1.7338357	0.0	0.29613113	0.24613953	0.6847508	1.8484358	0.0	1.3053699	0.0	0.0	0.90558815	3.189142	0.0	0.0	0.0	1.1726542	0.35964823	1.6223016	0.0	0.0	0.0	0.0	0.0	1.3767507	1.1758193	0.74343705	0.5201783	0.50985765	0.0	1.7941616	0.45904255	0.0	3.0428643	1.5692439	0.3221078	0.0	0.80006766	1.995244	0.0	0.1093266	1.3103428	0.9947815	0.0	0.0	2.9799843	1.6368148	0.0	0.0	1.1802057	0.0	0.63081074	0.0	0.0	0.06118822	3.6042597	1.0880096	1.4763736	2.0270813	0.0	0.0	1.2772288	0.45865893	0.0	0.0	0.18912178	0.30593824	0.0	0.0	1.0180883	1.2136211	0.92237926	0.0	0.2442627	0.0	0.5431397	0.54565626	0.0	0.60962105	0.0	0.0	3.7728968
9283265077_R01C02	0.0	2.2491102	1.2253413	3.0488303	3.1678095	0.0	0.0	2.2243495	0.0	1.3353708	0.0	0.0	0.0	0.58402634	2.2432315	2.8096714	0.9639653	1.3907331	0.0	0.6474104	0.0	1.7847776	1.6978312	0.0	0.26748544	3.5234437	0.2508669	0.0	0.0	1.5825362	0.0019792318	0.0	0.0	1.5832453	0.0	2.1806254	0.0	0.0	2.5756006	0.0	0.0	0.0	0.67353654	1.4337353	0.56140685	0.0	0.0	0.0	1.0461171	0.0	0.35745907	0.17125535	0.0	3.5938358	1.6310759	0.0	0.51306725	0.0	1.8663803	0.0	0.0	0.0	0.0	0.44296312	0.0	0.0	1.3843898	0.0	2.1440701	1.2391472	0.20613146	0.45530772	0.0	0.0	2.4128783	0.48563588	0.0	0.48245102	0.8627951	0.0	0.0	1.7522714	0.0	0.11488074	2.1716084	1.6154342	0.52416253	0.0	1.5312686	3.3577147	1.3832049	0.0	0.0	0.09202051	0.0	1.5114481	1.5224609	0.46002045	0.79701424	0.76689434
6057833101_R04C01	0.4657606	0.82985467	0.1746831	2.6160212	0.72966385	0.60269356	0.8314271	0.84033203	0.730288	0.0	0.0028204918	0.0	1.3711958	0.8210983	0.0	1.8554869	1.0120751	0.5251386	1.8952167	1.2928376	2.196996	1.2826519	0.91620445	0.0	0.0	1.2308303	0.0	0.05925417	1.1088201	0.40761852	0.0	0.0	0.0	0.32972288	0.36073023	1.2865696	0.0	0.0	0.07551366	0.0	0.0	0.0	0.5947163	0.561036	0.25794816	0.0	1.0466977	1.7908125	1.1904175	0.8064997	0.18718922	1.1165528	0.37958544	1.9983242	1.5107751	0.020548582	0.36366177	0.0	0.6156758	1.1747389	0.0	0.0	0.013788223	0.86106014	0.20523906	0.0	1.1453294	0.90479183	0.046693563	1.497572	0.30300808	0.0	0.0	2.2708218	1.740104	0.0	0.16437745	1.3915327	0.0	0.0	0.0	0.0	0.0	0.0	0.67539597	0.8687525	0.28904152	0.18234158	0.9507022	2.0657988	0.23855877	0.0	0.6093869	2.455	0.0	1.2062416	0.39206743	0.024113044	0.5661597	2.5147605
9305216146_R06C01	0.0	0.12718557	0.72081757	2.6949153	2.4071488	0.0	0.0	3.2856526	0.44937468	0.5042591	0.0	0.0	2.1740131	0.41742516	0.8749263	0.63679457	0.23825766	2.3877006	0.11007285	0.47783327	0.0	0.22377872	0.84859276	0.0	0.0	2.3217602	0.69136906	0.0	0.0	2.2263412	0.1455419	0.0	0.0	0.0	0.0	2.2866468	0.0	0.0	0.4549957	0.0	0.0	0.0	2.0656636	1.276429	0.0	0.0	0.0	0.0	2.8298175	0.0	2.275531	0.05997324	0.056548655	2.659814	1.9033008	0.0	1.5292406	0.0	1.0220023	1.1235514	0.0	0.0	0.0	0.7761221	0.0	0.0	1.9001306	0.09175685	0.10261989	1.1747446	0.008921146	0.0	0.4129672	0.0	3.768287	0.0	0.0	1.4348174	0.0	0.0	0.0	0.25036192	0.0	0.0	3.6072001	3.1755548	1.0870695	0.0	3.2282963	2.391972	0.0	0.0	0.21909857	0.5523777	0.0	3.1001441	1.4267354	0.3135608	0.0	1.6736498
9305216132_R02C02	0.0	2.4636726	1.2932491	2.762023	0.0	1.2304287	0.84183264	0.0	0.7380738	0.0	0.5299425	0.0	1.1608276	0.96642303	0.0	1.3068309	1.0297511	0.0	1.8366182	0.5017667	3.7056067	0.94365025	0.06664276	0.0	0.25040388	0.612289	0.0	0.47862148	0.64153445	1.0461588	0.72454333	0.0	0.0	0.0	0.11937553	0.6890464	0.0	0.0	0.4715615	0.0	0.0	0.17991513	0.0	0.41754007	1.3187773	0.0	1.1286435	1.2261479	0.0	0.2277031	0.0	0.33527708	1.2427615	1.423759	0.93134594	0.49754214	0.5020304	0.0	0.0	1.0828199	0.0	0.0	0.0	0.4449911	0.0	0.0	0.0	1.0109421	0.72402173	1.4906769	0.57028294	0.0	0.0	2.2713978	0.67693675	0.0	0.0	2.0422447	0.21557164	0.0	0.0	0.36247355	0.0	1.0399003	0.23623419	0.44886875	0.4018693	0.0	0.0	0.2284255	0.4849062	0.0	0.19203949	1.832295	0.0	0.050429344	0.47230196	0.0	1.3993144	3.5772343
9993943017_R01C01	0.0	0.21451871	0.11176181	0.5864475	0.0	0.56599855	0.059581757	0.0	1.0873194	0.0	0.92490196	0.35202217	0.638608	1.2106371	0.0	0.2573967	0.0	0.0	0.448596	1.2993226	1.7546918	0.45680618	0.57109356	1.1014411	0.7662284	0.5223856	0.0	1.4448662	0.0	0.0	0.0	0.0	0.060512543	0.0	0.0	0.0	0.0	0.69890046	0.0	0.102421045	0.0	0.0	0.0	0.0	1.0271361	0.30494928	1.0054307	0.5693109	0.0	0.0	0.0	0.9307835	0.0018527508	0.5055742	0.68276405	2.0648782	1.9296341	0.0	0.0	1.723937	0.7545557	0.0	0.3352378	0.32122612	0.0	0.4429984	0.0	0.26570672	0.0	2.2628365	0.54169416	0.0	0.0	0.15544748	0.0	0.46115553	0.0	0.5460253	1.084646	0.0	1.2356877	0.0	0.0	0.0	0.0	0.0	0.0	1.4646244	0.0	0.0	0.031092167	0.0	0.0	0.7352214	0.0	0.77746606	0.955955	0.0	0.31997156	1.1815076
9305216132_R04C02	0.0	0.632647	0.0	0.7576446	0.0	0.0	0.0	0.0	0.0	2.959393	0.0	0.0	0.0	0.0	6.553258	1.8666234	7.3315425	0.0	0.0	0.0	0.0	3.838231	2.120389	0.0	5.0697727	0.0	3.4910712	0.8075881	3.551893	0.0	0.24953127	2.6414158	0.0	0.0	1.2724092	0.0	0.0	0.0	0.0	4.8980494	0.60900295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.406801	0.0	0.91467786	0.0	0.0	0.0	0.0	0.0	4.1180296	3.636034	0.0	0.0	0.0	0.0	0.0	0.0	2.433837	0.0	0.0	0.22631788	0.0	3.8056793	0.0	1.7426059	0.0	0.0	0.0	0.0	0.0	0.0	0.20833874	0.030405998	0.0	0.0	0.0	0.071830034	0.0	0.0	0.0	0.0	0.0	0.0	0.98121357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2555332
9422492113_R03C01	0.0	0.0	0.27173853	0.0	0.75069094	0.0	0.0	0.0	1.6009974	0.08966112	0.0	0.0	0.28491783	0.73525906	0.04087758	0.0	0.23303771	0.0	0.0	0.0	2.9186413	0.0	0.08764839	1.1040947	0.0	1.9456949	0.1840992	1.7052426	0.0	1.2127113	0.0	2.959552	0.0	0.0	0.0	0.2343874	0.0	2.1854622	0.0	1.0034668	0.0	0.0	0.0	0.0	0.0	1.8986497	0.0	0.0	0.0	0.0	0.6308962	0.0	0.0	0.0	0.7310996	1.5753868	2.4930086	0.0	0.0	1.6961756	2.0375338	0.0	1.0302639	0.0	0.0	0.0	0.0	0.0	0.28975856	1.2666206	0.07672167	0.0	0.0	0.0	0.0	0.0	0.0	0.08001554	2.051263	0.0	0.18120599	0.0	0.11444354	0.0	2.4493155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5055556	0.0	0.0	0.9244354	0.0	0.0	0.0	0.28137636
8784241071_R01C01	0.0	1.5870994	0.8865886	1.9848303	2.509642	0.0	0.0	2.3527784	0.0	0.48409843	0.0	0.0	0.93471193	0.240345	0.36325562	1.2885141	1.3428816	1.7605062	0.0	0.4409027	0.0	0.8068962	0.7094269	0.0	0.0	2.6899285	0.0	0.0	0.0	1.6791024	0.0	0.0	0.07475662	0.8437872	0.0	2.4082022	0.0	0.0	1.3259029	0.0	0.0	0.0	0.6579943	0.7199609	0.0	0.0	0.0	0.0	1.5795691	0.0	0.80677545	0.1005466	0.0	3.0422785	2.027089	0.15712333	0.77527237	0.0	0.7497715	0.9871063	0.0	0.0	0.0	0.21978664	0.0	0.0	2.0020561	0.37358558	1.4035952	1.2862902	0.3228159	0.0	0.0	0.0	2.5323672	0.0	0.0	1.9957416	0.0	0.0	0.0	1.6186917	0.0	0.36560762	1.5204372	2.3657784	1.1664419	0.0	1.9403214	1.5206574	0.76183844	0.0	0.0	0.2884555	0.0	2.1008666	1.2534151	0.0	0.73428154	1.0103364
